"CODE","SPANISH","ENGLISH"
"B02B","VITAMINA K Y OTROS HEMOSTÁTICOS","VITAMIN K AND OTHER HEMOSTATICS"
"B02BA","Vitamina K","Vitamin K"
"B02BA01","fitomenadiona","phytomenadione"
"B02BA02","menadiona","menadione"
"B02BB","Fibrinógeno","Fibrinogen"
"B02BB01","fibrinógeno humano","fibrinogen, human"
"B02BC","Hemostáticos locales","Local hemostatics"
"B02BC01","gelatina absorbente, esponja con","absorbable gelatin sponge"
"B02BC02","celulosa oxidizada","oxidized cellulose"
"B02BC03","tetragalacturónico, hidroximetiléster del ácido","tetragalacturonic acid hydroxymethylester"
"B02BC05","adrenalona","adrenalone"
"B02BC06","trombina","thrombin"
"B02BC07","colágeno","collagen"
"B02BC08","alginato de calcio","calcium alginate"
"B02BC09","epinefrina","epinephrine"
"B02BC30","combinaciones","combinations"
"B02BD","Factores de la coagulación sanguínea","Blood coagulation factors"
"B02BD01","factores de la coagulación IX, II, VII y X en combinación","coagulation factor IX, II, VII and X in combination"
"B02BD02","factor VIII de la coagulación","coagulation factor VIII"
"B02BD03","actividad que sobrepasa el inhibidor del factor VIII","factor VIII inhibitor bypassing activity"
"B02BD04","factor IX de la coagulación","coagulation factor IX"
"B02BD05","factor VII de la coagulación","coagulation factor VII"
"B02BD06","factor Von Willebrand y factor VIII de la coagulación en combinación","von Willebrand factor and coagulation factor VIII in combination"
"B02BD07","factor XIII de la coagulación","coagulation factor XIII"
"B02BD08","eptacog alfa (activado)","eptacog alfa (activated)"
"B02BD09","nonacog alfa","nonacog alfa"
"B02BD10","factor Von Willebrand","von Willebrand factor"
"B02BD11","catridecacog","catridecacog"
"B02BD12","trenonacog alfa","trenonacog alfa"
"B02BD30","trombina","thrombin"
"B02BX","Otros hemostáticos sistémicos","Other systemic hemostatics"
"B02BX01","etamsilato","etamsylate"
"B02BX02","carbazocromo","carbazochrome"
"B02BX03","batroxobina","batroxobin"
"B02BX04","romiplostim","romiplostim"
"B02BX05","eltrombopag","eltrombopag"
"B03","PREPARADOS ANTIANÉMICOS","ANTIANEMIC PREPARATIONS"
"B03A","PREPARADOS CON HIERRO","IRON PREPARATIONS"
"B03AA","Hierro bivalente, preparados orales","Iron bivalent, oral preparations"
"B03AA01","sulfato ferroso de glicina","ferrous glycine sulfate"
"B03AA02","fumarato ferroso","ferrous fumarate"
"B03AA03","gluconato ferroso","ferrous gluconate"
"B03AA04","carbonato ferroso","ferrous carbonate"
"B03AA05","cloruro ferroso","ferrous chloride"
"B03AA06","ferroso succinato","ferrous succinate"
"B03AA07","sulfato ferroso","ferrous sulfate"
"B03AA08","tartrato ferroso","ferrous tartrate"
"B03AA09","aspertato ferroso","ferrous aspartate"
"B03AA10","ascorbato ferroso","ferrous ascorbate"
"B03AA11","iodato ferroso","ferrous iodine"
"B03AB","Hierro trivalente, preparados orales","Iron trivalent, oral preparations"
"B03AB01","sódico citrato férrico","ferric sodium citrate"
"B03AB02","hierro sacaratado, óxido de","saccharated iron oxide"
"B03AB03","feredetato de sodio","sodium feredetate"
"B03AB04","hidróxido férrico","ferric hydroxide"
"B03AB05","óxido de hierro polimaltosados, complejos de","ferric oxide polymaltose complexes"
"B03AB06","citrato férrico","ferric citrate"
"B03AB07","condroitinsulfato-hierro, complejo de","chondroitin sulfate-iron complex"
"B03AB08","acetiltransferrina férrica","ferric acetyl transferrin"
"B03AB09","proteinsuccinilato férrico","ferric proteinsuccinylate"
"B03AC","Hierro, preparados parenterales","Iron, parenteral preparations"
"B03AD","Hierro en combinación con ácido fólico","Iron in combination with folic acid"
"B03AD01","ferroso aminoácidos, complejo de","ferrous amino acid complex"
"B03AD02","fumarato ferroso","ferrous fumarate"
"B03AD03","sulfato ferroso","ferrous sulfate"
"B03AD04","óxido de hierro polimaltosados, complejos de","ferric oxide polymaltose complexes"
"B03AE","Hierro en otras combinaciones","Iron in other combinations"
"B03AE01","hierro, vitamina B12 y ácido fólico","iron, vitamin B12 and folic acid"
"B03AE02","hierro, multivitaminas y ácido fólico","iron, multivitamins and folic acid"
"B03AE03","hierro y multivitaminas","iron and multivitamins"
"B03AE04","hierro, multivitaminas y minerales","iron, multivitamins and minerals"
"B03AE10","varias combinaciones","various combinations"
"B03B","VITAMINA B12 Y ÁCIDO FÓLICO","VITAMIN B12 AND FOLIC ACID"
"B03BA","Vitamina B12 (cianocobalamina y análogos)","Vitamin B12 (cyanocobalamin and analogues)"
"B03BA01","cianocobalamina","cyanocobalamin"
"B03BA02","cianocobalamina tanina, complejo de","cyanocobalamin tannin complex"
"B03BA03","hidroxocobalamina","hydroxocobalamin"
"B03BA04","cobamamida","cobamamide"
"B03BA05","mecobalamina","mecobalamin"
"B03BA51","cianocobalamina, combinaciones","cyanocobalamin, combinations"
"B03BA53","hidroxocobalamina, combinaciones","hydroxocobalamin, combinations"
"B03BB","Ácido fólico y derivados","Folic acid and derivatives"
"B03BB01","ácido fólico","folic acid"
"B03BB51","ácido fólico, combinaciones","folic acid, combinations"
"B03X","OTROS PREPARADOS ANTIANÉMICOS","OTHER ANTIANEMIC PREPARATIONS"
"B03XA","Otros preparados antianémicos","Other antianemic preparations"
"B03XA01","eritropoyetina","erythropoietin"
"B03XA02","darbepoetina alfa","darbepoetin alfa"
"B03XA03","beta- metoxipropilenglicolepoitina","methoxy polyethylene glycol-epoetin beta"
"B03XA04","peginesatida","peginesatide"
"B05","SUSTITUTOS DE LA SANGRE Y SOLUCIONES PARA PERFUSIÓN","BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS"
"B05A","SANGRE Y PRODUCTOS RELACIONADOS","BLOOD AND RELATED PRODUCTS"
"B05AA","Sustitutos de la sangre y fracciones proteicas del plasma","Blood substitutes and plasma protein fractions"
"B05AA01","albúmina","albumin"
"B05AA02","otras fracciones proteicas del plasma","other plasma protein fractions"
"B05AA03","sustitutos de la sangre fluorocarbonados","fluorocarbon blood substitutes"
"B05AA05","dextrán","dextran"
"B05AA06","gelatina, agentes con","gelatin agents"
"B05AA07","hidroxietil almidón","hydroxyethylstarch"
"B05AA08","hemoglobina crosfumarilo","hemoglobin crosfumaril"
"B05AA09","hemoglobina rafímera","hemoglobin raffimer"
"B05AA10","hemoglobina glutámero (de origen bovino)","hemoglobin glutamer (bovine)"
"B05AX","Otros productos de origen sanguíneo","Other blood products"
"B05AX01","eritrocitos","erythrocytes"
"B05AX02","trombocitos","thrombocytes"
"B05AX03","plasma sanguíneo","blood plasma"
"B05AX04","células madre obtenidas de la sangre del cordón umbilical","stem cells from umbilical cord blood"
"B05B","SOLUCIONES I.V.","I.V. SOLUTIONS"
"B05BA","Soluciones para nutrición parenteral","Solutions for parenteral nutrition"
"B05BA01","aminoácidos","amino acids"
"B05BA02","emulsiones grasas","fat emulsions"
"B05BA03","carbohidratos","carbohydrates"
"B05BA04","proteínas, hidrolizados de","protein hydrolysates"
"B05BA10","combinaciones","combinations"
"B05BB","Soluciones que afectan el balance electrolítico","Solutions affecting the electrolyte balance"
"B05BB01","electrolítos","electrolytes"
"B05BB02","electrolítos con carbohidratos","electrolytes with carbohydrates"
"B05BB03","trometamol","trometamol"
"B05BB04","electrolítos en combinación con otras drogas","electrolytes in combination with other drugs"
"B05BC","Soluciones que producen diuresis osmótica","Solutions producing osmotic diuresis"
"B05BC01","manitol","mannitol"
"B05BC02","urea","carbamide"
"B05C","SOLUCIONES DE IRRIGACIÓN","IRRIGATING SOLUTIONS"
"B05CA","Agentes antiinfecciosos","Antiinfectives"
"B05CA01","cetilpiridinio","cetylpyridinium"
"B05CA02","clorhexidina","chlorhexidine"
"B05CA03","nitrofural","nitrofural"
"B05CA04","sulfametizol","sulfamethizole"
"B05CA05","taurolidina","taurolidine"
"B05CA06","ácido mandélico","mandelic acid"
"B05CA07","noxitiolino","noxytiolin"
"B05CA08","etacridina, lactato de","ethacridine lactate"
"B05CA09","neomicina","neomycin"
"B05CA10","combinaciones","combinations"
"B05CB","Soluciones salinas","Salt solutions"
"B05CB01","cloruro de sodio","sodium chloride"
"B05CB02","citrato de sodio","sodium citrate"
"B05CB03","citrato de magnesio","magnesium citrate"
"B05CB04","bicarbonato de sodio","sodium bicarbonate"
"B05CB10","combinaciones","combinations"
"B05CX","Otras soluciones para irrigación","Other irrigating solutions"
"B05CX01","glucosa","glucose"
"B05CX02","sorbitol","sorbitol"
"B05CX03","glicina","glycine"
"B05CX04","manitol","mannitol"
"B05CX10","combinaciones","combinations"
"B05D","SOLUCIONES PARA DIÁLISIS PERITONEAL","PERITONEAL DIALYTICS"
"B05DA","Soluciones isotónicas","Isotonic solutions"
"B05DB","Soluciones hipertónicas","Hypertonic solutions"
"B05X","ADITIVOS PARA SOLUCIONES I.V.","I.V. SOLUTION ADDITIVES"
"B05XA","Soluciones electrolíticas","Electrolyte solutions"
"B05XA01","cloruro de potasio","potassium chloride"
"B05XA02","bicarbonato de sodio","sodium bicarbonate"
"B05XA03","cloruro de sodio","sodium chloride"
"B05XA04","cloruro de amonio","ammonium chloride"
"B05XA05","sulfato de magnesio","magnesium sulfate"
"B05XA06","fosfato de potasio, incl. combinaciones con otras sales de potasio","potassium phosphate, incl. combinations with other potassium salts"
"B05XA07","cloruro de calcio","calcium chloride"
"B05XA08","acetato de sodio","sodium acetate"
"B05XA09","fosfato de sodio","sodium phosphate"
"B05XA10","fosfato de magnesio","magnesium phosphate"
"B05XA11","cloruro de magnesio","magnesium chloride"
"B05XA12","cloruro de zinc","zinc chloride"
"B05XA13","ácido hidroclórico","hydrochloric acid"
"B05XA14","glicerofosfato de sodio","sodium glycerophosphate"
"B05XA15","lactato de potasio","potassium lactate"
"B05XA16","soluciones cardiopléjicas","cardioplegia solutions"
"B05XA17","acetato de potasio","potassium acetate"
"B05XA30","combinaciones de electrolitos","combinations of electrolytes"
"B05XA31","electrolítos en combinación con otras drogas","electrolytes in combination with other drugs"
"B05XB","Aminoácidos","Amino acids"
"B05XB01","arginina, clorhidrato de","arginine hydrochloride"
"B05XB02","alanilglutamina","alanyl glutamine"
"B05XB03","lisina","lysine"
"B05XC","Vitaminas","Vitamins"
"B05XX","Otros aditivos para soluciones i.v","Other i.v. solution additives"
"B05XX02","trometamol","trometamol"
"B05Z","SOLUCIONES PARA HEMODIÁLISIS Y HEMOFILTRACIÓN","HEMODIALYTICS AND HEMOFILTRATES"
"B05ZA","Concentrados para hemodiálisis","Hemodialytics, concentrates"
"B05ZB","Hemofiltrados","Hemofiltrates"
"B06","OTROS AGENTES HEMATOLÓGICOS","OTHER HEMATOLOGICAL AGENTS"
"B06A","OTROS AGENTES HEMATOLÓGICOS","OTHER HEMATOLOGICAL AGENTS"
"B06AA","Enzimas","Enzymes"
"B06AA02","fibrinolisina y desoxirribonucleasa","fibrinolysin and desoxyribonuclease"
"B06AA03","hialuronidasa","hyaluronidase"
"B06AA04","quimotripsina","chymotrypsin"
"B06AA07","tripsina","trypsin"
"B06AA10","desoxirribunucleasa","desoxyribonuclease"
"B06AA55","estreptoquinasa, combinaciones con","streptokinase, combinations"
"B06AB","Otros productos con grupo hemo","Other hem products"
"B06AB01","hematina","hematin"
"B06AC","Drogas usadas en el angioedema hereditario","Drugs used in hereditary angioedema"
"B06AC01","inhibidor de C1, derivado del plasma","c1-inhibitor, plasma derived"
"B06AC02","icatibanto","icatibant"
"B06AC03","ecalantida","ecallantide"
"B06AC04","conestat alfa","conestat alfa"
"C","SISTEMA CARDIOVASCULAR","CARDIOVASCULAR SYSTEM"
"C01","TERAPIA CARDÍACA","CARDIAC THERAPY"
"C01A","GLUCÓSIDOS CARDÍACOS","CARDIAC GLYCOSIDES"
"C01AA","Glucósidos digitálicos","Digitalis glycosides"
"C01AA01","acetildigitoxina","acetyldigitoxin"
"C01AA02","acetildigoxina","acetyldigoxin"
"C01AA03","digital, hojas de","digitalis leaves"
"C01AA04","digitoxina","digitoxin"
"C01AA05","digoxina","digoxin"
"C01AA06","lanatósido C","lanatoside C"
"C01AA07","deslanósido","deslanoside"
"C01AA08","metildigoxina","metildigoxin"
"C01AA09","gitoformato","gitoformate"
"C01AA52","acetildigoxina, combinaciones","acetyldigoxin, combinations"
"C01AB","Glucósidos de la escila","Scilla glycosides"
"C01AB01","proscilaridina","proscillaridin"
"C01AB51","proscilaridina, combinaciones","proscillaridin, combinations"
"C01AC","Glucósidos del estrofanto","Strophantus glycosides"
"C01AC01","estrofantina G","g-strophanthin"
"C01AC03","cimarina","cymarin"
"C01AX","Otros glucósidos cardiácos","Other cardiac glycosides"
"C01AX02","peruvósido","peruvoside"
"C01B","ANTIARRÍTMICOS DE CLASE I Y III","ANTIARRHYTHMICS, CLASS I AND III"
"C01BA","Antiarrítmicos de clase Ia","Antiarrhythmics, class Ia"
"C01BA01","quinidina","quinidine"
"C01BA02","procainamida","procainamide"
"C01BA03","disopiramida","disopyramide"
"C01BA04","esparteína","sparteine"
"C01BA05","ajmalina","ajmaline"
"C01BA08","prajmalina","prajmaline"
"C01BA12","lorajmina","lorajmine"
"C01BA51","quinidina, combinaciones excluidos psicolépticos","quinidine, combinations excl. psycholeptics"
"C01BA71","quinidina, combinaciones con psicolépticos","quinidine, combinations with psycholeptics"
"C01BB","Antiarrítmicos de clase Ib","Antiarrhythmics, class Ib"
"C01BB01","lidocaína","lidocaine"
"C01BB02","mexiletina","mexiletine"
"C01BB03","tocainida","tocainide"
"C01BB04","aprindina","aprindine"
"C01BC","Antiarrítmicos de clase Ic","Antiarrhythmics, class Ic"
"C01BC03","propafenona","propafenone"
"C01BC04","flecainida","flecainide"
"C01BC07","lorcainida","lorcainide"
"C01BC08","encainida","encainide"
"C01BC09","etacizina","ethacizine"
"C01BD","Antiarrítmicos de clase III","Antiarrhythmics, class III"
"C01BD01","amiodarona","amiodarone"
"C01BD02","bretilio, tosilato de","bretylium tosilate"
"C01BD03","bunaftina","bunaftine"
"C01BD04","dofetilida","dofetilide"
"C01BD05","ibutilida","ibutilide"
"C01BD06","tedisalmil","tedisamil"
"C01BD07","dronedarona","dronedarone"
"C01BG","Otros antiarrítmicos de clase I y III","Other antiarrhythmics, class I and III"
"C01BG01","moracizina","moracizine"
"C01BG07","cibenzolina","cibenzoline"
"C01BG11","vernakalant","vernakalant"
"C01C","ESTIMULANTES CARDÍACOS EXCLUIDOS GLUCÓSIDOS CARDÍACOS","CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES"
"C01CA","Agentes adrenérgicos y dopaminérgicos","Adrenergic and dopaminergic agents"
"C01CA01","etilefrina","etilefrine"
"C01CA02","isoprenalina","isoprenaline"
"C01CA03","norepinefrina","norepinephrine"
"C01CA04","dopamina","dopamine"
"C01CA05","norfenefrina","norfenefrine"
"C01CA06","fenilefrina","phenylephrine"
"C01CA07","dobutamina","dobutamine"
"C01CA08","oxedrina","oxedrine"
"C01CA09","metaraminol","metaraminol"
"C01CA10","metoxamina","methoxamine"
"C01CA11","mefentermina","mephentermine"
"C01CA12","dimetofrina","dimetofrine"
"C01CA13","prenalterol","prenalterol"
"C01CA14","dopexamina","dopexamine"
"C01CA15","gepefrina","gepefrine"
"C01CA16","ibopamina","ibopamine"
"C01CA17","midodrina","midodrine"
"C01CA18","octopamina","octopamine"
"C01CA19","fenoldopam","fenoldopam"
"C01CA21","cafedrina","cafedrine"
"C01CA22","arbutamina","arbutamine"
"C01CA23","teodrenalina","theodrenaline"
"C01CA24","epinefrina","epinephrine"
"C01CA25","metilsulfato de amezinio","amezinium metilsulfate"
"C01CA26","efedrina","ephedrine"
"C01CA30","combinaciones","combinations"
"C01CA51","etilefrina, combinaciones","etilefrine, combinations"
"C01CE","Inhibidores de la fosfodiesterasa","Phosphodiesterase inhibitors"
"C01CE01","amrinona","amrinone"
"C01CE02","milrinona","milrinone"
"C01CE03","enoximona","enoximone"
"C01CE04","bucladesina","bucladesine"
"C01CX","Otros estimulantes cardíacos","Other cardiac stimulants"
"C01CX06","angiotensinamida","angiotensinamide"
"C01CX07","xamoterol","xamoterol"
"C01CX08","levosimendán","levosimendan"
"C01D","VASODILATADORES USADOS EN ENFERMEDADES CARDÍACAS","VASODILATORS USED IN CARDIAC DISEASES"
"C01DA","Nitratos orgánicos","Organic nitrates"
"C01DA02","trinitrato de glicerilo","glyceryl trinitrate"
"C01DA04","dinitrato de metilpropilpropanediol","methylpropylpropanediol dinitrate"
"C01DA05","tetranitrato de pentaeritritilo","pentaerithrityl tetranitrate"
"C01DA07","propatilnitrato","propatylnitrate"
"C01DA08","dinitrato de isosorbida","isosorbide dinitrate"
"C01DA09","trolnitrato","trolnitrate"
"C01DA13","tetranitrato de eritritilo","eritrityl tetranitrate"
"C01DA14","mononitrato de isosorbida","isosorbide mononitrate"
"C01DA20","nitratos orgánicos en combinación","organic nitrates in combination"
"C01DA38","tenitramina","tenitramine"
"C01DA52","trinitrato de glicerilo, combinaciones","glyceryl trinitrate, combinations"
"C01DA54","dinitrato de metilpropilpropanediol, combinaciones","methylpropylpropanediol dinitrate, combinations"
"C01DA55","tetranitrato de pentaeritritilo, combinaciones","pentaerithrityl tetranitrate, combinations"
"C01DA57","propatilnitrato, combinaciones","propatylnitrate, combinations"
"C01DA58","dinitrato de isosorbida, combinaciones","isosorbide dinitrate, combinations"
"C01DA59","trolnitrato, combinaciones","trolnitrate, combinations"
"C01DA63","tetranitrato de eritritilo, combinaciones","eritrityl tetranitrate, combinations"
"C01DA70","nitratos orgánicos en combinación con psicolépticos","organic nitrates in combination with psycholeptics"
"C01DB","Vasodilatadores de tipo quinolona","Quinolone vasodilators"
"C01DB01","flosequinán","flosequinan"
"C01DX","Otros vasodilatadores usados en enfermedades cardíacas","Other vasodilators used in cardiac diseases"
"C01DX01","itramina, tosilato de","itramin tosilate"
"C01DX02","prenilamina","prenylamine"
"C01DX03","oxifedrina","oxyfedrine"
"C01DX04","benciodarona","benziodarone"
"C01DX05","carbocromeno","carbocromen"
"C01DX06","hexobendina","hexobendine"
"C01DX07","etafenona","etafenone"
"C01DX08","heptaminol","heptaminol"
"C01DX09","imolamina","imolamine"
"C01DX10","dilazep","dilazep"
"C01DX11","trapidil","trapidil"
"C01DX12","molsidomina","molsidomine"
"C01DX13","efloxato","efloxate"
"C01DX14","cinepazet","cinepazet"
"C01DX15","cloridarol","cloridarol"
"C01DX16","nicorandil","nicorandil"
"C01DX18","linsidomina","linsidomine"
"C01DX19","nesiritida","nesiritide"
"C01DX21","serelaxina","serelaxin"
"C01DX51","itramina, tosilato de, combinaciones","itramin tosilate, combinations"
"C01DX52","prenilamina, combinaciones","prenylamine, combinations"
"C01DX53","oxifedrina, combinaciones","oxyfedrine, combinations"
"C01DX54","benziodarona, combinaciones","benziodarone, combinations"
"C01E","OTROS PREPARADOS PARA EL CORAZÓN","OTHER CARDIAC PREPARATIONS"
"C01EA","Prostaglandinas","Prostaglandins"
"C01EA01","alprostadil","alprostadil"
"C01EB","Otros preparados para el corazón","Other cardiac preparations"
"C01EB02","alcanfor","camphora"
"C01EB03","indometacina","indometacin"
"C01EB04","crataegus, glucósidos del","crataegus glycosides"
"C01EB05","creatinolfosfato","creatinolfosfate"
"C01EB06","fosfocreatinina","fosfocreatine"
"C01EB07","fructosa 1,6-difosfato","fructose 1,6-diphosphate"
"C01EB09","ubidecarenona","ubidecarenone"
"C01EB10","adenosina","adenosine"
"C01EB11","tiracizina","tiracizine"
"C01EB13","acadesina","acadesine"
"C01EB15","trimetazidina","trimetazidine"
"C01EB16","ibuprofeno","ibuprofen"
"C01EB17","ivabradina","ivabradine"
"C01EB18","ranolazina","ranolazine"
"C01EB21","regadenosón","regadenoson"
"C01EB22","meldonio","meldonium"
"C01EX","Combinaciones de otros productos para el corazón","Other cardiac combination products"
"C02","ANTIHIPERTENSIVOS","ANTIHYPERTENSIVES"
"C02A","AGENTES ANTIADRENÉRGICOS DE ACCIÓN CENTRAL","ANTIADRENERGIC AGENTS, CENTRALLY ACTING"
"C02AA","Alcaloides de la rauwolfia","Rauwolfia alkaloids"
"C02AA01","rescinamina","rescinnamine"
"C02AA02","reserpina","reserpine"
"C02AA03","alcaloides de la rauwolfia, combinaciones de","combinations of rauwolfia alkaloids"
"C02AA04","alcaloides de la rauwolfia, raíz entera de","rauwolfia alkaloids, whole root"
"C02AA05","deserpidina","deserpidine"
"C02AA06","metoserpidina","methoserpidine"
"C02AA07","bietaserpina","bietaserpine"
"C02AA52","reserpina, combinaciones","reserpine, combinations"
"C02AA53","combinaciones de alcaloides de la rauwolfia, combinaciones","combinations of rauwolfia alkoloids, combinations"
"C02AA57","bietaserpina, combinaciones","bietaserpine, combinations"
"C02AB","Metildopa","Methyldopa"
"C02AB01","metildopa (levógira)","methyldopa (levorotatory)"
"C02AB02","metildopa (racémica)","methyldopa (racemic)"
"C02AC","Agonistas del receptor de imidazolina","Imidazoline receptor agonists"
"C02AC01","clonidina","clonidine"
"C02AC02","guanfacina","guanfacine"
"C02AC04","tolonidina","tolonidine"
"C02AC05","moxonidina","moxonidine"
"C02AC06","rilmenidina","rilmenidine"
"C02B","AGENTES ANTIADRENÉRGICOS POR BLOQUEO GANGLIONAR","ANTIADRENERGIC AGENTS, GANGLION-BLOCKING"
"C02BA","Derivados del sulfonio","Sulfonium derivatives"
"C02BA01","trimetafán","trimetaphan"
"C02BB","Aminas secundarias y terciarias","Secondary and tertiary amines"
"C02BB01","mecamilamina","mecamylamine"
"C02BC","Compuestos de amonio bicuaternario","Bisquaternary ammonium compounds"
"C02C","AGENTES ANTIADRENÉRGICOS DE ACCIÓN PERIFÉRICA","ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING"
"C02CA","Antagonistas de receptores alfa-adrenérgicos","Alpha-adrenoreceptor antagonists"
"C02CA01","prazosina","prazosin"
"C02CA02","indoramina","indoramin"
"C02CA03","trimazosina","trimazosin"
"C02CA04","doxazosina","doxazosin"
"C02CA06","urapidil","urapidil"
"C02CC","Derivados de la guanidina","Guanidine derivatives"
"C02CC01","betanidina","betanidine"
"C02CC02","guanetidina","guanethidine"
"C02CC03","guanoxano","guanoxan"
"C02CC04","debrisoquina","debrisoquine"
"C02CC05","guanocloro","guanoclor"
"C02CC06","guanazodina","guanazodine"
"C02CC07","guanoxabenzo","guanoxabenz"
"C02D","AGENTES QUE ACTÚAN SOBRE EL MÚSCULO LISO ARTERIOLAR","ARTERIOLAR SMOOTH MUSCLE, AGENTS ACTING ON"
"C02DA","Derivados tiazídicos","Thiazide derivatives"
"C02DA01","diazóxido","diazoxide"
"C02DB","Derivados de la hidrazinoftalacina","Hydrazinophthalazine derivatives"
"C02DB01","dihidralazina","dihydralazine"
"C02DB02","hidralazina","hydralazine"
"C02DB03","endralazina","endralazine"
"C02DB04","cadralazina","cadralazine"
"C02DC","Derivados de la pirimidina","Pyrimidine derivatives"
"C02DC01","minoxidil","minoxidil"
"C02DD","Derivados del nitroferricianuro","Nitroferricyanide derivatives"
"C02DD01","nitroprusiato","nitroprusside"
"C02DG","Derivados de la guanidina","Guanidine derivatives"
"C02DG01","pinacidil","pinacidil"
"C02K","OTROS ANTIHIPERTENSIVOS","OTHER ANTIHYPERTENSIVES"
"C02KA","Alcaloides, excluidos los de la rauwolfia","Alkaloids, excl. rauwolfia"
"C02KA01","veratro","veratrum"
"C02KB","Inhibidores de la tirosina hidroxilasa","Tyrosine hydroxylase inhibitors"
"C02KB01","metirosina","metirosine"
"C02KC","Inhibidores de la MAO","MAO inhibitors"
"C02KC01","pargilina","pargyline"
"C02KD","Antagonistas de la serotonina","Serotonin antagonists"
"C02KD01","ketanserina","ketanserin"
"C02KX","Otros antihipertensivos","Other antihypertensives"
"C02KX01","bosentano","bosentan"
"C02KX02","ambrisentán","ambrisentan"
"C02KX03","sitaxentán","sitaxentan"
"C02KX04","macitentán","macitentan"
"C02L","ANTIHIPERTENSIVOS Y DIURÉTICOS EN COMBINACIÓN","ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION"
"C02LA","Alcaloides de la rauwolfia y diuréticos en combinación","Rauwolfia alkaloids and diuretics in combination"
"C02LA01","reserpina y diuréticos","reserpine and diuretics"
"C02LA02","rescinamina y diuréticos","rescinnamine and diuretics"
"C02LA03","deserpidina y diuréticos","deserpidine and diuretics"
"C02LA04","metoserpidina y diuréticos","methoserpidine and diuretics"
"C02LA07","bietaserpina y diuréticos","bietaserpine and diuretics"
"C02LA08","rauwolfia, alcaloides de raíz entera, y diuréticos","rauwolfia alkaloids, whole root and diuretics"
"C02LA09","sirosingopina y diuréticos","syrosingopine and diuretics"
"C02LA50","combinación de alcaloides de la rauwolfia y diuréticos, incl. otras combinaciones","combination of rauwolfia alkaloids and diuretics incl. other combinations"
"C02LA51","reserpina y diuréticos, combinaciones con otras drogas","reserpine and diuretics, combinations with other drugs"
"C02LA52","rescinamina y diuréticos, combinaciones con otras drogas","rescinnamine and diuretics, combinations with other drugs"
"C02LA71","reserpina y diuréticos, combinaciones con psicolépticos","reserpine and diuretics, combinations with psycholeptics"
"C02LB","Metildopa y diuréticos en combinación","Methyldopa and diuretics in combination"
"C02LB01","metildopa (levógira) y diuréticos","methyldopa (levorotatory) and diuretics"
"C02LC","Agonistas del receptor de imidazolina y diuréticos en combinación","Imidazoline receptor agonists in combination with diuretics"
"C02LC01","clonidina y diuréticos","clonidine and diuretics"
"C02LC05","moxonidina y diuréticos","moxonidine and diuretics"
"C02LC51","clonidina y diuréticos, combinaciones con otras drogas","clonidine and diuretics, combinations with other drugs"
"C02LE","Antagonistas alfa- adrenérgicos y diuréticos","Alpha-adrenoreceptor antagonists and diuretics"
"C02LE01","prazosina y diuréticos","prazosin and diuretics"
"C02LF","Derivados de la guanidina y diuréticos","Guanidine derivatives and diuretics"
"C02LF01","guanetidina y diuréticos","guanethidine and diuretics"
"C02LG","Derivados de la hidrazinoftalazina y diuréticos","Hydrazinophthalazine derivatives and diuretics"
"C02LG01","dihidralazina y diuréticos","dihydralazine and diuretics"
"C02LG02","hidralazina y diuréticos","hydralazine and diuretics"
"C02LG03","picodralazina y diuréticos","picodralazine and diuretics"
"C02LG51","dihidralazina y diuréticos, combinaciones con otras drogas","dihydralazine and diuretics, combinations with other drugs"
"C02LG73","picodralazina y diuréticos, combinaciones con psicolépticos","picodralazine and diuretics, combinations with psycholeptics"
"C02LK","Alcaloides, excluidos los de la rauwolfia, en combinación con diuréticos","Alkaloids, excl. rauwolfia, in combination with diuretics"
"C02LK01","veratro y diuréticos","veratrum and diuretics"
"C02LL","Inhibidores de la MAO y diuréticos","MAO inhibitors and diuretics"
"C02LL01","pargilina y diuréticos","pargyline and diuretics"
"C02LN","Antagonistas de serotonina y diuréticos","Serotonin antagonists and diuretics"
"C02LX","Otros antihipertensivos y diuréticos","Other antihypertensives and diuretics"
"C02LX01","pinacidil y diuréticos","pinacidil and diuretics"
"C02N","COMBINACIONES DE ANTIHIPERTENSIVOS DEL GRUPO C02 DE ATC","COMBINATIONS OF ANTIHYPERTENSIVES IN ATC-GR. C02"
"C03","DIURÉTICOS","DIURETICS"
"C03A","DIURÉTICOS DE TECHO BAJO, TIAZIDAS","LOW-CEILING DIURETICS, THIAZIDES"
"C03AA","Tiazidas, monoterapia","Thiazides, plain"
"C03AA01","bendroflumetiazida","bendroflumethiazide"
"C03AA02","hidroflumetiazida","hydroflumethiazide"
"C03AA03","hidroclorotiazida","hydrochlorothiazide"
"C03AA04","clorotiazida","chlorothiazide"
"C03AA05","politiazida","polythiazide"
"C03AA06","triclormetiazida","trichlormethiazide"
"C03AA07","ciclopentiazida","cyclopenthiazide"
"C03AA08","meticlotiazida","methyclothiazide"
"C03AA09","ciclotiazida","cyclothiazide"
"C03AA13","mebutizida","mebutizide"
"C03AB","Tiazidas y potasio en combinación","Thiazides and potassium in combination"
"C03AB01","bendroflumetiazida y potasio","bendroflumethiazide and potassium"
